"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QDAP9R8A","newspaperArticle","2020","Morris, Loveday","Coronavirus curve shows much of Europe could face Italy-like surge within weeks","The Washington Post","","","","https://www.washingtonpost.com/world/europe/flatten-the-curve-coronavirus/2020/03/12/a648883c-6460-11ea-8a8e-5c5336b32760_story.html","","2020-03-13","2020-05-20 14:22:11","2021-10-19 21:35:34","2020-05-20 14:22:11","","","","","","","","","","","","","","","","","","","","","","<p>score: 100</p>","/Users/bfmaier/Zotero/storage/3SWPRTJN/a648883c-6460-11ea-8a8e-5c5336b32760_story.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJ5B2ZE7","magazineArticle","2020","","Einkaufen für Nachbarn? Richtig helfen in Corona-Zeiten","FIT FOR FUN","","","","https://www.fitforfun.de/news/nachbarschaftshilfe-aber-richtig-das-sollte-man-bei-aller-naechstenliebe-wissen-421238.html","Die Corona-Krise zeigt viele Gesichter: Auf der einen Seite streiten sich Menschen um Klopapier, auf der anderen Seite gibt es eine große Welle der Hilfsbereitschaft, vor allem unter Nachbarn. Die Nächstenliebe kann aber auch zur Gefahr werden, weiß ein Experte vom Robert-Koch-Institut.","2020-04-14","2020-05-20 14:21:13","2021-10-19 12:35:07","2020-05-20 14:21:13","","","","","","","Einkaufen für Nachbarn?","","","","","","","de","","","","","","","Library Catalog: www.fitforfun.de","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/DULI2N2P/nachbarschaftshilfe-aber-richtig-das-sollte-man-bei-aller-naechstenliebe-wissen-421238.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM4NC35P","radioBroadcast","2020","","Gut gemeint ist nicht immer gut gemacht: Richtig helfen in der Corona-Krise","","","","","https://www.deutschlandfunknova.de/beitrag/nachbarschaftshilfe-wie-wir-waehrend-corona-richtig-helfen-tipps-vom-experten","","2020-04-09","2020-05-20 14:19:36","2021-10-19 14:51:00","","","","","","","","","","","","","Deutschlandfunk Nova","","","","","","","","","","<p>score: 20</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQNSEBQZ","podcast","","","Die Pandemie","","","","","https://www.geo.de/geolino/mensch/22743-rtkl-jetzt-anhoeren-gemeinsam-gegen-corona-der-wissenspodcast-von-geolino","","","2020-05-20 14:17:53","2021-10-19 13:02:11","2020-05-20","","","","","","","","","","","Gemeinsam gegen Corona - der Wissenspodcast von GEOlino","","","","","","","","","","","<p>score: 1</p>","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQH7WKVG","radioBroadcast","2020","","Solidarität: Richtig helfen in der Corona-Krise","","","","","","","2020-03-18","2020-05-20 14:14:35","2021-10-19 12:42:46","","","","","","","","","","","","","NDR","","","","","","","","","","<p>score: 5</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KUXFIZX","magazineArticle","2020","","Warum Abstand halten an Ostern gegen die Pandemie helfen kann","rbb24","","","","https://www.rbb24.de/panorama/thema/2020/coronavirus/beitraege_neu/2020/04/ostern-abstand-kontaktverbot-feiertage-coronavirus-daten-zahlen.html","Auch über Ostern sollen wir Abstand halten. Ist das angesichts der sich verlangsamenden Geschwindigkeit von Neuinfektionen noch angebracht? Erklärungen für die anhaltende Kontaktverbote. Von Haluka Maier-Borst und Vanessa Klüber","2020-04-12","2020-05-20 14:12:57","2021-10-19 12:44:19","2020-05-20 14:12:57","","","","","","","","","","","","","","de","","","","","","","Library Catalog: www.rbb24.de","<p>score: 20</p>","/Users/bfmaier/Zotero/storage/3Z86Y5TW/ostern-abstand-kontaktverbot-feiertage-coronavirus-daten-zahlen.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SW2MC7CM","magazineArticle","2020","Maier-Borst","Corona ist ein Marathon, kein Sprint","rbb24","","","","https://www.rbb24.de/panorama/thema/2020/coronavirus/beitraege_neu/2020/04/modellrechnungen-epidemie-corona-massnahmen-nach-lockdown.html","Am 20. April werden die bisherigen Maßnahmen gegen Corona auslaufen. Doch was kommt dann? Modelle legen nahe, dass eine Verlängerung des Lockdowns prinzipiell helfen kann. Am wichtigsten ist aber, was danach kommt. Von Haluka Maier-Borst und Arne Schlüter","2020-04-14","2020-05-20 14:12:17","2021-10-19 12:27:47","2020-05-20 14:12:17","","","","","","","","","","","","","","de","","","","","","","Library Catalog: www.rbb24.de","<p>score: 1</p>","/Users/bfmaier/Zotero/storage/N9DQPY2P/modellrechnungen-epidemie-corona-massnahmen-nach-lockdown.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFUF5T88","newspaperArticle","2021","","Wieso die Fallzahlen steigen und Social Distancing hilft","rbb24","","","","https://www.rbb24.de/panorama/thema/2020/coronavirus/beitraege/dunkelziffer-quarantaene-social-distancing-effekt.html","Die Corona-Fallzahlen in Berlin und Brandenburg werden auch nach Einführung der neuen Maßnahmen steigen. Warum das so ist und wieso Vorkehrungen wie Quarantäne jetzt trotzdem enorm wichtig sein könnten, fasst Haluka Maier-Borst zusammen.","2021-02-22","2020-05-20 14:12:09","2021-10-19 12:44:56","2020-05-20 14:12:09","","","","","","","","","","","","","","de","","","","","","","Library Catalog: www.rbb24.de","<p>score: 5</p>","/Users/bfmaier/Zotero/storage/RKWRJZDH/dunkelziffer-quarantaene-social-distancing-effekt.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T9HCPZ9R","newspaperArticle","2020","Frisse, Juliane","Nachbarschaftshilfe: ""Nicht einfach draufloshelfen""","Die Zeit","","0044-2070","","https://www.zeit.de/zeit-magazin/leben/2020-03/nachbarschaftshilfe-coronavirus-infektionskette-solidaritaet-netzwerkforschung","Gut gemeint, aber schnell falsch gemacht: Ein Netzwerkforscher erklärt, wie man seinen Nachbarn sicher helfen kann – und wer sich zurückhalten sollte.","2020-03-19","2020-05-20 14:11:08","2020-05-20 14:11:08","2020-05-20 14:11:08","","","","","","","Nachbarschaftshilfe","","","","","","Hamburg","de-DE","","","","","Die Zeit","","","<p>score: 20</p>","/Users/bfmaier/Zotero/storage/UBDDIU35/komplettansicht.html","","","Coronavirus; Epidemie; Infektion; Nachbarschaft; Pandemie; Solidarität","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TH67DTK","newspaperArticle","2020","Herden, Birgit","Lockerung des Lockdowns: So groß ist die Gefahr der zweiten Welle","DIE WELT","","","","https://www.welt.de/wissenschaft/plus207528275/Lockerung-des-Lockdowns-So-gross-ist-die-Gefahr-der-zweiten-Welle.html","In Deutschland werden erste Schutzmaßnahmen gelockert, zugleich sprechen Politiker und Virologen düstere Warnungen aus. Sucht man nach wissenschaftlichen Grundlagen für diese Sorge, findet man auch einigen Grund für Hoffnung.","2020-04-27","2020-05-20 14:09:43","2020-05-20 14:09:43","2020-05-20 14:09:43","","","","","","","Lockerung des Lockdowns","","","","","","","","","","","","www.welt.de","","","<p>score: 20</p>","/Users/bfmaier/Zotero/storage/GU2ZWSFB/Lockerung-des-Lockdowns-So-gross-ist-die-Gefahr-der-zweiten-Welle.html","","","China; Coronavirus; Asien; Christian; Christian Drosten; Dänemark; Drosten; Epidemien; Europa; Frankreich; Gesundheit; Herden-Birgit; Köln; Lockdown; Norwegen; Österreich; RKI; Seoul; Singapur; Spanische Grippe; Stuttgart; Südkorea; USA; WAMS-Auswahl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJKEZS7Q","newspaperArticle","2020","Herden, Birgit","Corona-Leitfaden: Diese Zahlen helfen Ihnen, die Pandemie zu verstehen","DIE WELT","","","","https://www.welt.de/wissenschaft/plus207886867/Corona-Leitfaden-Diese-Zahlen-helfen-Ihnen-die-Pandemie-zu-verstehen.html","Alle Welt starrt auf Werte, die Virologen und Epidemiologen berechnen, um die Pandemie in den Griff zu bekommen. Wie sinnvoll ist das? Im Gespräch erklärt der Physiker und Modellierer Benjamin Maier, wo Stärken und Schwächen der Berechnungen liegen.","2020-05-11","2020-05-20 14:05:38","2020-05-20 14:05:38","2020-05-20 14:05:38","","","","","","","Corona-Leitfaden","","","","","","","","","","","","www.welt.de","","","<p>score: 20</p>","/Users/bfmaier/Zotero/storage/JY9XSHVV/Corona-Leitfaden-Diese-Zahlen-helfen-Ihnen-die-Pandemie-zu-verstehen.html","","","China; Herden-Birgit; Benjamin Maier; Dirk Brockmann; Epidemiologie; Infektiologie; Infektionskrankheiten; Infektionslehre; Karriere; Modellierer; Pandemien; Sars (Schweres Akutes Atemnotsyndrom); Sars (Severe acute respiratory syndrome); Welt am Sonntag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHNBPMFN","newspaperArticle","2020","Hillebrand, Fabian","Nicht drauflos helfen","neues deutschland","","","","https://www.neues-deutschland.de/artikel/1134687.nicht-drauflos-helfen.html","Forscher rät: Kontakt mit nur einem bedürftigen Haushalt","2020-03-24","2020-05-20 14:05:03","2021-10-19 12:33:45","2020-05-20 14:05:03","","","","","","","","","","","","","","de","","","","","","","Library Catalog: www.neues-deutschland.de","<p>score: 1</p>","/Users/bfmaier/Zotero/storage/CBMHYDAB/1134687.nicht-drauflos-helfen.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU5QRJ4B","newspaperArticle","2020","Hillebrand, Fabian","Distanz und Nähe","neues deutschland","","","","https://www.neues-deutschland.de/artikel/1134688.corona-pandemie-distanz-und-naehe.html","Das Coronavirus verändert unseren Alltag rasant und grundlegend. Abstand birgt die Gefahr sozialer Isolation. Vielen verschafft die Situation aber auch ungeahnte Kontakte.","2020-03-04","2020-05-20 14:04:44","2021-10-19 12:34:02","2020-05-20 14:04:44","","","","","","","","","","","","","","de","","","","","","","Library Catalog: www.neues-deutschland.de","<p>score: 1</p>","/Users/bfmaier/Zotero/storage/6ADKZ4X4/1134688.corona-pandemie-distanz-und-naehe.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7FI28W6J","magazineArticle","2021","Seidler, Christoph","Corona: So sinnvoll sind Grenzschließungen zu Tschechien und Österreich","DER SPIEGEL","","","","https://www.spiegel.de/wissenschaft/mensch/corona-so-sinnvoll-sind-grenzschliessungen-zu-tschechien-und-oesterreich-a-8a6f9da9-ccae-4000-8124-330809a46e5e","Deutschland will die Grenzen zu Tschechien und Österreich stärker kontrollieren. Ins Land dürfen nur Menschen mit einem negativen Corona-Test. Was bringen die Maßnahmen?","2021-02-12","2021-02-13 21:41:07","2021-10-19 12:29:47","2021-02-13 21:41:07","","","","","","","Corona","","","","","","","de","","","","","","","","<p>score: 20</p>","/Users/bfmaier/Zotero/storage/9RGD8U5H/corona-so-sinnvoll-sind-grenzschliessungen-zu-tschechien-und-oesterreich-a-8a6f9da9-ccae-4000-8.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H4EGBTFX","newspaperArticle","2021","Maier-Borst, Haluka","Warum die Berliner Amtsärzte richtig argumentieren - aber falsche Schlüsse ziehen","rbb24","","","","https://www.rbb24.de/panorama/thema/corona/beitraege/2021/02/berlin-amtsaerzte-epidemiologen-argumente.html","Aus den Gesundheitsämtern kommt die Forderung, die Lage nicht nur anhand der Corona-Inzidenzwerte zu bewerten. Doch so verständlich einige Kritikpunkte sind, so fehlgeleitet sind viele der Schlussfolgerungen. Eine Analyse von Haluka Maier-Borst","2021-02-22","2021-02-23 09:21:16","2021-10-19 12:44:41","2021-02-23 09:21:16","","","","","","","","","","","","","","de","","","","","","","","<p>score: 1</p>","/Users/bfmaier/Zotero/storage/4YV3MVFY/berlin-amtsaerzte-epidemiologen-argumente.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXBF78JG","newspaperArticle","2020","Charisius, Hanno","""Es kann nicht sein, dass Impfstoff liegen bleibt""","Süddeutsche Zeitung","","","","https://www.sueddeutsche.de/gesundheit/coronavirus-impfstrategie-astra-zeneca-biontech-1.5221584","Angesichts wieder steigender Infektionszahlen fordern viele Experten, die Impfkampagne massiv zu beschleunigen.","2020-03-01","2021-03-01 21:24:03","2021-10-19 12:35:40","2021-03-01 21:24:03","","","","","","","","","","","","","","de","","","","","","","","<p>score: 20</p>","/Users/bfmaier/Zotero/storage/D4RK2IDS/coronavirus-impfstrategie-astra-zeneca-biontech-1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3I5SBT4I","magazineArticle","2021","Mestermann, Marius","Corona-Strategie von Karl Lauterbach: So will er die dritte Welle brechen","DER SPIEGEL","","","","https://www.spiegel.de/politik/deutschland/corona-strategie-von-karl-lauterbach-mit-schnelleren-impfungen-und-mehr-tests-gegen-die-dritte-welle-a-4363c47e-5305-4126-aad5-02478bd4d386","Der SPD-Gesundheitsexperte Lauterbach erwartet einen neuen Anstieg der Infektionszahlen in Deutschland. Dem SPIEGEL erklärte er, wie sich laut einer Simulationsrechnung Tausende Leben retten – und Geschäfte öffnen lassen.","2021-02-28","2021-03-01 21:24:55","2021-10-19 12:28:47","2021-03-01 21:24:56","","","","","","","Corona-Strategie von Karl Lauterbach","","","","","","","de","","","","","","","","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/36AVA2RA/corona-strategie-von-karl-lauterbach-mit-schnelleren-impfungen-und-mehr-tests-gegen-die-dritte-.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRIX32KT","magazineArticle","2021","Trabert, Kilian","Simulationsrechnung: So lässt sich die dritte Corona-Welle brechen","nordbayern.de","","","","https://www.nordbayern.de/politik/simulationsrechnung-so-lasst-sich-die-dritte-corona-welle-brechen-1.10883130","Berlin - SPD-Politiker Karl Lauterbach hat mit Forschern der Humboldt-Universität und des Helmholtz-Zentrums eine Strategie entwickelt, die Öffnungsschritte ermöglichen und gleichzeitig tausende Leben retten soll.","2021-03-02","2021-03-02 07:54:15","2021-10-19 12:42:27","2021-03-02 07:54:15","","","","","","","Simulationsrechnung","","","","","","","de-DE","","","","","","","","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/58SPCB9N/simulationsrechnung-so-lasst-sich-die-dritte-corona-welle-brechen-1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2WPSQ55","magazineArticle","2020","","Scholz will Strategiewechsel bei Corona-Politik","fuldainfo.de","","","","https://www.fuldainfo.de/scholz-will-strategiewechsel-bei-corona-politik/","","2020-03-01","2021-03-02 07:55:06","2021-10-19 12:41:02","2021-03-02 07:55:06","","","","","","","","","","","","","","de-DE","","","","","","","Section: Politik","<p>score: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YI6JYJ7V","newspaperArticle","2021","Obeser, Mario","Lauterbach schlägt neue Impf- und Teststrategie vor","BSAktuell","","","","https://www.bsaktuell.de/deutschland-und-welt/lauterbach-schlaegt-neue-impf-und-teststrategie-vor/197824/","SPD-Gesundheitspolitiker Karl Lauterbach schlägt kurz vor der Ministerpräsidentenkonferenz von Bund und Ländern eine neue Strategie vor. Wie der ""Spiegel""","2021-02-28","2021-03-02 07:55:35","2021-10-19 12:37:47","2021-03-02 07:55:35","","","","","","","","","","","","","","de-DE","","","","","","","","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/UBURMWQ3/197824.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FU2W5ZWH","newspaperArticle","2021","Maier-Borst, Haluka","Drei Ideen, um die Pandemie besser in den Griff zu kriegen","rbb24","","","","https://www.rbb24.de/panorama/thema/corona/beitraege/2021/03/erstimpfung-biontech-schulen-schnelltests.html","Viele sind mürbe vom Lockdown. Doch nun beginnen die Fallzahlen wieder zu steigen. Wissenschaftlerinnen und Wissenschaftler diskutieren Ideen, die bei der Bekämpfung der Pandemie helfen könnten. Von Haluka Maier-Borst","2021-03-03","2021-03-03 10:12:02","2021-10-19 12:34:25","2021-03-03 10:12:02","","","","","","","","","","","","","","de","","","","","","","","<p>score: 20</p>","/Users/bfmaier/Zotero/storage/FYNVZQDY/erstimpfung-biontech-schulen-schnelltests.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HA7XA8DF","newspaperArticle","2021","","Zu viele Hoffnungen und absurde Zweifel an neuen Tests","rbb24","","","","https://www.rbb24.de/panorama/thema/corona/beitraege/2021/03/selbsttests-schnelltests-inzidenz-auswirkung.html","Selbsttests und wöchentliche Schnelltests sollen mehr Sicherheit schaffen - und ab jetzt die Lockerungen der Corona-Maßnahmen begleiten. Doch was kann die neue Strategie wirklich leisten und wo muss man vorsichtig sein? Von Haluka Maier-Borst","2021-02-22","2021-03-11 15:48:41","2021-10-19 12:45:14","2021-03-11 15:48:41","","","","","","","","","","","","","","de","","","","","","","","<p>score: 5</p>","/Users/bfmaier/Zotero/storage/769SVFKN/selbsttests-schnelltests-inzidenz-auswirkung.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AT4P9JW","newspaperArticle","2021","Bernewasser, Julia","Lauterbach hält Änderung der Impfstrategie für dringend nötig","Der Tagesspiegel","","","","https://www.tagesspiegel.de/wissen/bis-zu-14-000-corona-tote-weniger-lauterbach-haelt-aenderung-der-impfstrategie-fuer-dringend-noetig/26963916.html","Um die dritte Corona-Welle aufzuhalten, plädiert SPD-Politiker Lauterbach für ein Aufschieben der zweiten Dosis. Was das bewirkt, zeigt eine Modellrechnung.","2021-03-01","2021-03-14 19:19:06","2021-10-19 12:37:43","2021-03-14 19:19:06","","","","","","","","","","","","","","de","","","","","","","","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/PVUB8JVX/26963916.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
